state,OED_overall_amim,quintile_amim,vol_adv_amim,oed_adv_amim,vol_dis_amim,oed_dis_amim,doed_amim,OED_overall_amir,quintile_amir,vol_adv_amir,oed_adv_amir,vol_dis_amir,oed_dis_amir,doed_amir,OED_overall_pnm,quintile_pnm,vol_adv_pnm,oed_adv_pnm,vol_dis_pnm,oed_dis_pnm,doed_pnm,OED_overall_pnr,quintile_pnr,vol_adv_pnr,oed_adv_pnr,vol_dis_pnr,oed_dis_pnr,doed_pnr,doed_pnr_abs
SD,-0.012179447,1,1756,-0.014683379,222,0.007626432,0.022309812,-0.011924949,2,1815,-0.015546837,231,0.016532747,0.032079585,-0.006724419,2,4840,-0.014668828,1100,0.028230978,0.042899806,-0.027270523,1,5147,-0.025160572,1174,-0.036520882,-0.01136031,0.01136031
MD,-0.002990607,2,7913,-0.001667229,1179,-0.011872615,-0.010205386,0.000514453,3,7850,-0.000411506,1164,0.006759108,0.007170614,0.001593308,3,20900,0.003415971,5037,-0.005969459,-0.009385431,0.009298932,5,21684,0.006893211,5262,0.019212587,0.012319376,0.012319376
CO,-0.009909085,1,3749,-0.012426155,525,0.008065198,0.020491353,-0.018955949,1,4012,-0.020456691,551,-0.008028585,0.012428106,-0.01140012,1,9983,-0.016910303,2544,0.010222584,0.027132887,-0.021445475,1,10815,-0.024069363,2779,-0.01123412,0.012835243,0.012835243
AK,-0.01833723,1,573,-0.020286492,205,-0.012888805,0.007397688,-0.017236015,1,585,-0.022608949,204,-0.001828336,0.020780612,0.019505256,5,1130,0.01851816,769,0.020955735,0.002437575,-0.026336883,1,1142,-0.031691482,807,-0.018759495,0.012931987,0.012931987
FL,0.001903698,3,29395,0.000452754,6287,0.00868762,0.008234866,0.014640713,5,30021,0.011144574,6304,0.031290078,0.020145504,0.000114089,3,65176,0.001202513,22472,-0.003042688,-0.004245201,0.007729379,4,68743,0.004139593,24243,0.017908509,0.013768916,0.013768916
AR,0.018903325,5,5053,0.015549141,1420,0.030839022,0.015289882,0.018281278,5,5223,0.012791331,1451,0.038042816,0.025251485,0.023696343,5,14503,0.020215855,6784,0.031137014,0.010921159,0.008882365,4,15284,0.004396011,7256,0.018332398,0.013936387,0.013936387
UT,-0.00507266,2,1943,-0.005549897,140,0.001550707,0.007100604,-0.027634163,1,2109,-0.025208001,160,-0.059614012,-0.034406011,0.001927887,3,5423,0.000683883,721,0.011284657,0.010600774,-0.025615295,1,5914,-0.023890818,804,-0.03830007,-0.014409252,0.014409252
MI,-0.005751672,2,18563,-0.007587505,2558,0.007570678,0.015158182,0.00271663,3,18759,0.000646408,2632,0.017471676,0.016825268,-0.008988448,2,41815,-0.009563945,7819,-0.005910768,0.003653176,0.00359994,3,44170,0.001252593,8466,0.015846847,0.014594254,0.014594254
MO,0.005907885,4,10600,0.002324955,1381,0.03340901,0.031084055,0.003929237,4,11046,0.004317236,1398,0.000863548,-0.003453688,0.004729546,4,31185,0.005496255,5880,0.00066325,-0.004833005,0.008119087,4,33027,0.0057066,6487,0.02040168,0.01469508,0.01469508
DC,-0.00116967,2,962,0.00346638,354,-0.013768204,-0.017234584,0.002348884,3,1338,-0.002358572,402,0.018016984,0.020375557,-0.005589804,2,1292,0.004045125,814,-0.020882591,-0.024927715,0.021747921,5,1363,0.015974666,842,0.031093463,0.015118797,0.015118797
KS,0.011752927,4,4457,0.007772604,589,0.04187228,0.034099676,-0.01169894,2,4493,-0.01121958,585,-0.015380588,-0.004161008,0.006453048,4,15063,-0.001806317,3980,0.037712048,0.039518366,-0.007896681,2,15817,-0.011166424,4258,0.004249287,0.01541571,0.01541571
WV,0.016766554,5,4241,0.011444958,1044,0.038384264,0.026939306,0.015190772,5,4100,0.013408184,1015,0.022391371,0.008983187,0.001607881,3,9315,-0.000281086,3332,0.006888712,0.007169798,0.015365891,5,9756,0.011176239,3613,0.026678996,0.015502756,0.015502756
ME,0.007663162,4,2722,0.002965854,1546,0.015933585,0.012967731,-0.010399573,2,2714,-0.015894213,1562,-0.000852547,0.015041666,-0.011281844,1,5435,-0.010584972,3894,-0.012254496,-0.001669524,-0.013993308,1,5707,-0.020712531,4220,-0.004906436,0.015806095,0.015806095
OK,0.004863268,3,6158,0.001241021,1078,0.025555103,0.024314082,2.80612E-05,3,6336,-0.00350395,1114,0.020116772,0.023620722,0.006329966,4,19329,0.008026224,4804,-0.000494965,-0.008521188,-0.001626181,3,20559,-0.005189778,5366,0.012027192,0.01721697,0.01721697
NC,0.002137244,3,14363,-0.003483714,3559,0.024821656,0.028305369,0.000789499,3,14485,-0.004556764,3509,0.022858642,0.027415406,0.01650889,5,35295,0.011909197,15619,0.026903036,0.014993839,0.002087203,3,36875,-0.003401549,16708,0.014201024,0.017602573,0.017602573
